Employee ID,Name,Skills,Availability
1,Employee 1,"['UI Design', 'DevOps', 'Data Analysis', 'Machine Learning', 'Testing']",False
2,Employee 2,"['Frontend Development', 'Testing', 'Database Management', 'Project Management', 'DevOps']",True
3,Employee 3,"['Project Management', 'Frontend Development', 'DevOps', 'Testing']",False
4,Employee 4,"['Machine Learning', 'DevOps']",True
5,Employee 5,"['Machine Learning', 'Database Management', 'Cybersecurity']",True
6,Employee 6,"['Backend Development', 'DevOps', 'Database Management', 'Machine Learning']",False
7,Employee 7,"['Project Management', 'Backend Development', 'Testing', 'Cybersecurity']",False
8,Employee 8,['Backend Development'],True
9,Employee 9,"['Machine Learning', 'Frontend Development', 'Project Management', 'Cybersecurity']",False
10,Employee 10,"['DevOps', 'UI Design', 'Machine Learning', 'Backend Development']",True
11,Employee 11,"['Backend Development', 'UI Design', 'Cybersecurity', 'Frontend Development']",True
12,Employee 12,"['Frontend Development', 'Machine Learning', 'Database Management', 'Testing']",False
13,Employee 13,"['Backend Development', 'Cybersecurity', 'Machine Learning', 'DevOps', 'Testing']",True
14,Employee 14,"['Data Analysis', 'Database Management', 'Frontend Development', 'Backend Development']",False
15,Employee 15,['Machine Learning'],True
16,Employee 16,"['Project Management', 'Testing', 'UI Design', 'Machine Learning']",False
17,Employee 17,"['Testing', 'Database Management', 'Cybersecurity', 'Frontend Development']",True
18,Employee 18,"['DevOps', 'Frontend Development']",False
19,Employee 19,"['Testing', 'Cybersecurity', 'UI Design', 'Frontend Development', 'DevOps']",False
20,Employee 20,"['Machine Learning', 'Cybersecurity', 'Testing', 'Project Management', 'Database Management']",False
21,Employee 21,['DevOps'],True
22,Employee 22,"['Testing', 'Cybersecurity', 'Data Analysis']",True
23,Employee 23,"['Database Management', 'Machine Learning', 'DevOps', 'Data Analysis']",False
24,Employee 24,"['Project Management', 'Cybersecurity', 'Backend Development']",True
25,Employee 25,"['Database Management', 'UI Design', 'Frontend Development', 'Cybersecurity']",True
26,Employee 26,"['Machine Learning', 'Data Analysis', 'Project Management', 'DevOps', 'Backend Development']",True
27,Employee 27,['Database Management'],True
28,Employee 28,"['DevOps', 'Data Analysis', 'Project Management']",False
29,Employee 29,"['Database Management', 'UI Design', 'DevOps']",False
30,Employee 30,"['Cybersecurity', 'Testing', 'DevOps', 'Frontend Development', 'UI Design']",True
31,Employee 31,"['DevOps', 'Project Management', 'Frontend Development']",False
32,Employee 32,"['UI Design', 'Database Management', 'Cybersecurity']",False
33,Employee 33,"['Machine Learning', 'Testing', 'UI Design']",True
34,Employee 34,"['DevOps', 'Project Management', 'Cybersecurity', 'UI Design']",False
35,Employee 35,"['Testing', 'Cybersecurity', 'DevOps', 'Frontend Development']",True
36,Employee 36,"['Data Analysis', 'Frontend Development', 'Backend Development', 'Machine Learning', 'Testing']",False
37,Employee 37,"['Machine Learning', 'DevOps', 'Testing']",True
38,Employee 38,['UI Design'],True
39,Employee 39,"['Data Analysis', 'Machine Learning', 'UI Design']",True
40,Employee 40,"['Database Management', 'Backend Development', 'Machine Learning', 'Frontend Development']",False
41,Employee 41,"['Testing', 'DevOps']",True
42,Employee 42,"['Backend Development', 'Cybersecurity', 'DevOps', 'Data Analysis']",False
43,Employee 43,"['Frontend Development', 'Cybersecurity', 'Database Management']",True
44,Employee 44,['Machine Learning'],False
45,Employee 45,"['Data Analysis', 'Testing', 'Machine Learning']",False
46,Employee 46,"['Machine Learning', 'Backend Development']",True
47,Employee 47,"['Testing', 'UI Design', 'Project Management']",True
48,Employee 48,['Backend Development'],True
49,Employee 49,"['Cybersecurity', 'Data Analysis', 'Database Management']",True
50,Employee 50,"['Database Management', 'Data Analysis', 'Project Management']",True
51,Employee 51,"['Cybersecurity', 'Data Analysis']",False
52,Employee 52,"['Project Management', 'Machine Learning', 'Backend Development', 'Database Management']",False
53,Employee 53,['Data Analysis'],True
54,Employee 54,"['Testing', 'Backend Development', 'Frontend Development', 'UI Design', 'Project Management']",True
55,Employee 55,"['Machine Learning', 'Cybersecurity', 'Project Management', 'Testing', 'Frontend Development']",True
56,Employee 56,"['Cybersecurity', 'Database Management', 'Testing']",False
57,Employee 57,"['Frontend Development', 'Database Management', 'Project Management']",False
58,Employee 58,"['Project Management', 'DevOps', 'Database Management', 'Testing', 'UI Design']",False
59,Employee 59,"['Database Management', 'Data Analysis', 'Machine Learning', 'Testing']",True
60,Employee 60,['Backend Development'],True
61,Employee 61,['Database Management'],False
62,Employee 62,"['Data Analysis', 'UI Design', 'Machine Learning', 'Testing', 'Frontend Development']",True
63,Employee 63,"['Project Management', 'Backend Development', 'Machine Learning']",False
64,Employee 64,"['Testing', 'Frontend Development', 'Project Management', 'UI Design', 'Machine Learning']",True
65,Employee 65,['Testing'],False
66,Employee 66,"['Frontend Development', 'Backend Development', 'Testing', 'Project Management']",False
67,Employee 67,['Frontend Development'],False
68,Employee 68,"['UI Design', 'DevOps', 'Backend Development']",False
69,Employee 69,"['Backend Development', 'Testing']",True
70,Employee 70,['Backend Development'],False
71,Employee 71,"['UI Design', 'Data Analysis']",False
72,Employee 72,"['Frontend Development', 'Testing', 'Cybersecurity']",False
73,Employee 73,"['DevOps', 'Cybersecurity', 'UI Design', 'Project Management']",True
74,Employee 74,"['Testing', 'Database Management', 'DevOps', 'Project Management']",False
75,Employee 75,"['UI Design', 'Project Management']",True
76,Employee 76,['Database Management'],True
